"","elev_zone","layer","date","lst"
"1140","401-500",2,"2006_07_12",27.3300639
"1141","401-500",2,"2006_07_20",30.0258102
"1142","401-500",2,"2006_07_28",31.9643887
"1143","401-500",2,"2006_08_13",30.9056225
"1144","401-500",2,"2006_08_21",25.53299
"1145","401-500",2,"2006_08_29",27.4224705
"1146","401-500",2,"2006_09_06",29.1403997
"1147","401-500",2,"2006_09_14",29.4493943
"1148","401-500",2,"2006_09_22",31.5242736
"1149","401-500",2,"2006_09_30",32.2520602
"1150","401-500",2,"2006_10_08",30.4878376
"1151","401-500",2,"2006_10_16",29.6628473
"1152","401-500",2,"2006_10_24",27.7447913
"1153","401-500",2,"2006_11_01",28.1649956
"1154","401-500",2,"2006_11_09",26.4271403
"1155","401-500",2,"2006_11_17",25.4416499
"1156","401-500",2,"2006_11_25",23.3235552
"1157","401-500",2,"2006_12_03",21.669831
"1158","401-500",2,"2006_12_11",20.1522328
"1159","401-500",2,"2006_12_19",22.0161877
"1160","401-500",2,"2006_12_27",19.5663092
"1161","401-500",2,"2007_01_01",17.6406498
"1162","401-500",2,"2007_01_09",18.5060134
"1163","401-500",2,"2007_01_17",19.7812942
"1164","401-500",2,"2007_01_25",26.2311058
"1165","401-500",2,"2007_02_02",22.3537507
"1166","401-500",2,"2007_02_10",18.9679398
"1167","401-500",2,"2007_02_18",23.1472495
"1168","401-500",2,"2007_02_26",22.0536063
"1169","401-500",2,"2007_03_06",23.5480454
"1170","401-500",2,"2007_03_14",23.2481828
"1171","401-500",2,"2007_03_22",28.7420373
"1172","401-500",2,"2007_03_30",30.5503663
"1173","401-500",2,"2007_04_07",32.9923737
"1174","401-500",2,"2007_04_15",34.5202483
"1175","401-500",2,"2007_04_23",35.9522856
"1176","401-500",2,"2007_05_01",34.0573182
"1177","401-500",2,"2007_05_09",33.5450625
"1178","401-500",2,"2007_05_17",35.9982515
"1179","401-500",2,"2007_05_25",38.3245026
"1180","401-500",2,"2007_06_02",41.012835
"1181","401-500",2,"2007_06_10",37.0328033
"1182","401-500",2,"2007_06_18",35.6426572
"1183","401-500",2,"2007_06_26",31.7951149
"1184","401-500",2,"2007_07_04",27.6732462
"1185","401-500",2,"2007_07_12",30.2345683
"1186","401-500",2,"2007_07_28",26.6088275
"1187","401-500",2,"2007_08_05",31.6141028
"1188","401-500",2,"2007_08_13",26.1126906
"1189","401-500",2,"2007_08_21",28.0183383
"1190","401-500",2,"2007_08_29",28.3262986
"1191","401-500",2,"2007_09_06",27.3810195
"1192","401-500",2,"2007_09_14",29.2920814
"1193","401-500",2,"2007_09_22",28.4344022
"1194","401-500",2,"2007_09_30",30.1222557
"1195","401-500",2,"2007_10_08",30.3421183
"1196","401-500",2,"2007_10_16",26.5552016
"1197","401-500",2,"2007_10_24",27.7932506
"1198","401-500",2,"2007_11_01",26.7113735
"1199","401-500",2,"2007_11_09",24.7027241
"1200","401-500",2,"2007_11_17",24.196068
"1201","401-500",2,"2007_11_25",22.3845131
"1202","401-500",2,"2007_12_03",21.503601
"1203","401-500",2,"2007_12_11",18.5182867
"1204","401-500",2,"2007_12_19",21.0821183
"1205","401-500",2,"2007_12_27",19.662879
"1206","401-500",2,"2008_01_01",18.8970787
"1207","401-500",2,"2008_01_09",14.8493696
"1208","401-500",2,"2008_01_17",15.0960891
"1209","401-500",2,"2008_01_25",17.6310882
"1210","401-500",2,"2008_02_02",18.1436221
"1211","401-500",2,"2008_02_10",21.3730428
"1212","401-500",2,"2008_02_18",23.2803293
"1213","401-500",2,"2008_02_26",28.8545959
"1214","401-500",2,"2008_03_05",29.3726202
"1215","401-500",2,"2008_03_13",32.5858972
"1216","401-500",2,"2008_03_21",33.9152756
"1217","401-500",2,"2008_03_29",30.8606885
"1218","401-500",2,"2008_04_06",31.5637242
"1219","401-500",2,"2008_04_14",36.6463902
"1220","401-500",2,"2008_04_22",41.0602729
"1221","401-500",2,"2008_04_30",41.8276545
"1222","401-500",2,"2008_05_08",33.5357827
"1223","401-500",2,"2008_05_16",34.8162053
"1224","401-500",2,"2008_05_24",38.3004244
"1225","401-500",2,"2008_06_01",34.8650977
"1226","401-500",2,"2008_06_09",33.9076968
"1227","401-500",2,"2008_06_17",29.9261335
"1228","401-500",2,"2008_06_25",28.6482374
"1229","401-500",2,"2008_07_03",29.597378
"1230","401-500",2,"2008_07_11",27.3288469
"1231","401-500",2,"2008_07_19",27.3981382
"1232","401-500",2,"2008_08_04",27.7035545
"1233","401-500",2,"2008_08_12",29.8571985
"1234","401-500",2,"2008_08_20",27.3216342
"1235","401-500",2,"2008_08_28",28.192106
"1236","401-500",2,"2008_09_05",29.8715707
"1237","401-500",2,"2008_09_13",28.6440623
"1238","401-500",2,"2008_09_21",28.7866684
"1239","401-500",2,"2008_09_29",27.1254182
"1240","401-500",2,"2008_10_07",27.1645519
"1241","401-500",2,"2008_10_15",26.0494612
"1242","401-500",2,"2008_10_23",25.847003
"1243","401-500",2,"2008_10_31",26.5497957
"1244","401-500",2,"2008_11_08",25.5433052
"1245","401-500",2,"2008_11_16",22.9366209
"1246","401-500",2,"2008_11_24",22.8742437
"1247","401-500",2,"2008_12_02",22.8467741
"1248","401-500",2,"2008_12_10",22.3863479
"1249","401-500",2,"2008_12_18",19.9936767
"1250","401-500",2,"2008_12_26",18.5371985
"1251","401-500",2,"2009_01_01",17.6134901
"1252","401-500",2,"2009_01_09",19.4674608
"1253","401-500",2,"2009_01_17",18.2899789
"1254","401-500",2,"2009_01_25",20.4914298
"1255","401-500",2,"2009_02_02",21.7142402
"1256","401-500",2,"2009_02_10",20.9271227
"1257","401-500",2,"2009_02_18",25.6482074
"1258","401-500",2,"2009_02_26",26.1703557
"1259","401-500",2,"2009_03_06",28.6851118
"1260","401-500",2,"2009_03_14",30.3406322
"1261","401-500",2,"2009_03_22",25.6749093
"1262","401-500",2,"2009_03_30",33.3603187
"1263","401-500",2,"2009_04_07",35.1145184
"1264","401-500",2,"2009_04_15",38.7989875
"1265","401-500",2,"2009_04_23",38.794374
"1266","401-500",2,"2009_05_01",39.9609667
"1267","401-500",2,"2009_05_09",36.0976175
"1268","401-500",2,"2009_05_17",38.6399032
"1269","401-500",2,"2009_05_25",37.8191002
"1270","401-500",2,"2009_06_02",40.4315813
"1271","401-500",2,"2009_06_10",39.3036573
"1272","401-500",2,"2009_06_18",44.1032911
"1273","401-500",2,"2009_06_26",38.7998996
"1274","401-500",2,"2009_07_04",36.9341697
"1275","401-500",2,"2009_07_12",33.0434725
"1276","401-500",2,"2009_07_28",29.6931414
"1277","401-500",2,"2009_08_05",29.1020761
"1278","401-500",2,"2009_08_13",26.7156207
"1279","401-500",2,"2009_08_21",29.2769238
"1280","401-500",2,"2009_08_29",26.9272495
"1281","401-500",2,"2009_09_06",28.9543353
"1282","401-500",2,"2009_09_14",28.8663268
"1283","401-500",2,"2009_09_22",28.4247174
"1284","401-500",2,"2009_09_30",29.0195369
"1285","401-500",2,"2009_10_08",27.6576246
"1286","401-500",2,"2009_10_16",27.9170118
"1287","401-500",2,"2009_10_24",27.4873129
"1288","401-500",2,"2009_11_01",26.4234496
"1289","401-500",2,"2009_11_09",22.6711234
"1290","401-500",2,"2009_11_17",21.9504226
"1291","401-500",2,"2009_11_25",22.1276475
"1292","401-500",2,"2009_12_03",21.2107149
"1293","401-500",2,"2009_12_11",18.7433404
"1294","401-500",2,"2009_12_19",18.9633263
"1295","401-500",2,"2009_12_27",18.0946669
"1296","401-500",2,"2010_01_01",16.6403504
"1297","401-500",2,"2010_01_09",18.2887674
"1298","401-500",2,"2010_01_17",16.5229213
"1299","401-500",2,"2010_01_25",21.0767688
"1300","401-500",2,"2010_02_02",21.894779
"1301","401-500",2,"2010_02_10",22.6457176
"1302","401-500",2,"2010_02_18",25.2873728
"1303","401-500",2,"2010_02_26",28.5080806
"1304","401-500",2,"2010_03_06",29.8174133
"1305","401-500",2,"2010_03_14",32.3605934
"1306","401-500",2,"2010_03_22",36.7037066
"1307","401-500",2,"2010_03_30",36.912909
"1308","401-500",2,"2010_04_07",41.2337295
"1309","401-500",2,"2010_04_15",39.6545924
"1310","401-500",2,"2010_04_23",39.1602835
"1311","401-500",2,"2010_05_01",36.0722117
"1312","401-500",2,"2010_05_09",42.1851013
"1313","401-500",2,"2010_05_17",43.2891477
"1314","401-500",2,"2010_05_25",42.7236186
"1315","401-500",2,"2010_06_02",36.4589875
"1316","401-500",2,"2010_06_10",36.5241997
"1317","401-500",2,"2010_06_18",38.2539831
"1318","401-500",2,"2010_06_26",32.4543846
"1319","401-500",2,"2010_07_04",28.6813849
"1320","401-500",2,"2010_07_12",28.6935112
"1321","401-500",2,"2010_07_20",26.3879255
"1322","401-500",2,"2010_07_28",29.3865582
"1323","401-500",2,"2010_08_05",30.35
"1324","401-500",2,"2010_08_21",27.3714773
"1325","401-500",2,"2010_08_29",27.6208459
"1326","401-500",2,"2010_09_06",26.9812977
"1327","401-500",2,"2010_09_14",26.3489505
"1328","401-500",2,"2010_09_22",28.5776774
"1329","401-500",2,"2010_09_30",28.4049674
"1330","401-500",2,"2010_10_08",27.7821535
"1331","401-500",2,"2010_10_16",28.003196
"1332","401-500",2,"2010_10_24",25.4235341
"1333","401-500",2,"2010_11_01",25.6539162
"1334","401-500",2,"2010_11_09",25.1532048
"1335","401-500",2,"2010_11_17",23.1844744
"1336","401-500",2,"2010_11_25",20.9330674
"1337","401-500",2,"2010_12_03",20.5963568
"1338","401-500",2,"2010_12_11",19.3415372
"1339","401-500",2,"2010_12_19",18.4777866
"1340","401-500",2,"2010_12_27",14.2986061
"1341","401-500",2,"2011_01_01",12.3917027
"1342","401-500",2,"2011_01_09",14.3802377
"1343","401-500",2,"2011_01_17",17.7910636
"1344","401-500",2,"2011_01_25",18.0726448
"1345","401-500",2,"2011_02_02",20.2232981
"1346","401-500",2,"2011_02_10",18.5378535
"1347","401-500",2,"2011_02_18",21.061421
"1348","401-500",2,"2011_02_26",23.5526906
"1349","401-500",2,"2011_03_06",26.8434143
"1350","401-500",2,"2011_03_14",28.3836292
"1351","401-500",2,"2011_03_22",31.6999348
"1352","401-500",2,"2011_03_30",31.5583712
"1353","401-500",2,"2011_04_07",32.7724265
"1354","401-500",2,"2011_04_15",34.8057422
"1355","401-500",2,"2011_04_23",36.1346945
"1356","401-500",2,"2011_05_01",36.0769484
"1357","401-500",2,"2011_05_09",40.4605195
"1358","401-500",2,"2011_05_17",33.4642842
"1359","401-500",2,"2011_05_25",33.249271
"1360","401-500",2,"2011_06_02",33.2381106
"1361","401-500",2,"2011_06_10",29.7911058
"1362","401-500",2,"2011_06_18",30.8608575
"1363","401-500",2,"2011_06_26",28.5370505
"1364","401-500",2,"2011_07_04",29.2625163
"1365","401-500",2,"2011_07_12",29.6016042
"1366","401-500",2,"2011_07_28",26.8968137
"1367","401-500",2,"2011_08_05",NA
"1368","401-500",2,"2011_08_13",29.7668
"1369","401-500",2,"2011_08_29",29.3012379
"1370","401-500",2,"2011_09_06",28.7201261
"1371","401-500",2,"2011_09_14",28.1170576
"1372","401-500",2,"2011_09_22",28.8139197
"1373","401-500",2,"2011_09_30",27.6470699
"1374","401-500",2,"2011_10_08",29.8981845
"1375","401-500",2,"2011_10_16",28.2521976
"1376","401-500",2,"2011_10_24",26.0097746
"1377","401-500",2,"2011_11_01",25.5975577
"1378","401-500",2,"2011_11_09",24.8991706
"1379","401-500",2,"2011_11_17",24.3934795
"1380","401-500",2,"2011_11_25",23.1756137
"1381","401-500",2,"2011_12_03",22.7168181
"1382","401-500",2,"2011_12_11",17.8285843
"1383","401-500",2,"2011_12_19",18.4257457
"1384","401-500",2,"2011_12_27",20.6392129
"1385","401-500",2,"2012_01_01",18.1399905
"1386","401-500",2,"2012_01_09",14.9539091
"1387","401-500",2,"2012_01_17",18.8132858
"1388","401-500",2,"2012_01_25",18.2042067
"1389","401-500",2,"2012_02_02",18.5418824
"1390","401-500",2,"2012_02_10",18.9293027
"1391","401-500",2,"2012_02_18",22.4580437
"1392","401-500",2,"2012_02_26",24.7858901
"1393","401-500",2,"2012_03_05",24.1644814
"1394","401-500",2,"2012_03_13",28.0981035
"1395","401-500",2,"2012_03_21",30.6622451
"1396","401-500",2,"2012_03_29",33.7194418
"1397","401-500",2,"2012_04_06",33.382231
"1398","401-500",2,"2012_04_14",31.6106586
"1399","401-500",2,"2012_04_22",35.7059077
"1400","401-500",2,"2012_04_30",36.6401039
"1401","401-500",2,"2012_05_08",37.2525145
"1402","401-500",2,"2012_05_16",38.7177901
"1403","401-500",2,"2012_05_24",41.3950291
"1404","401-500",2,"2012_06_01",38.5603328
"1405","401-500",2,"2012_06_09",42.0521764
"1406","401-500",2,"2012_06_17",40.2863479
"1407","401-500",2,"2012_06_25",39.6748072
"1408","401-500",2,"2012_07_03",36.4675543
"1409","401-500",2,"2012_07_11",30.7185552
"1410","401-500",2,"2012_07_19",32.4222486
"1411","401-500",2,"2012_07_27",27.4187707
"1412","401-500",2,"2012_08_04",27.2365659
"1413","401-500",2,"2012_08_12",27.6608707
"1414","401-500",2,"2012_08_28",24.9436833
"1415","401-500",2,"2012_09_05",29.3495105
"1416","401-500",2,"2012_09_13",25.8896871
"1417","401-500",2,"2012_09_21",28.8371738
"1418","401-500",2,"2012_09_29",28.928373
"1419","401-500",2,"2012_10_07",27.7289012
"1420","401-500",2,"2012_10_15",26.5920602
"1421","401-500",2,"2012_10_23",25.4683483
"1422","401-500",2,"2012_10_31",25.1671685
"1423","401-500",2,"2012_11_08",23.3271826
"1424","401-500",2,"2012_11_16",23.1468868
"1425","401-500",2,"2012_11_24",21.039234
"1426","401-500",2,"2012_12_02",20.6839672
"1427","401-500",2,"2012_12_10",18.1726343
"1428","401-500",2,"2012_12_18",17.9148811
"1429","401-500",2,"2012_12_26",15.992747
"1430","401-500",2,"2013_01_01",10.3226958
"1431","401-500",2,"2013_01_09",19.256885
"1432","401-500",2,"2013_01_17",15.7885138
"1433","401-500",2,"2013_01_25",16.5370893
"1434","401-500",2,"2013_02_02",19.405714
"1435","401-500",2,"2013_02_10",20.0122927
"1436","401-500",2,"2013_02_18",20.6962053
"1437","401-500",2,"2013_02_26",24.3178746
"1438","401-500",2,"2013_03_06",26.9492182
"1439","401-500",2,"2013_03_14",26.5188501
"1440","401-500",2,"2013_03_22",23.0332435
"1441","401-500",2,"2013_03_30",30.0506304
"1442","401-500",2,"2013_04_07",33.1955608
"1443","401-500",2,"2013_04_15",33.2131027
"1444","401-500",2,"2013_04_23",34.9261014
"1445","401-500",2,"2013_05_01",37.3634812
"1446","401-500",2,"2013_05_09",39.162791
"1447","401-500",2,"2013_05_17",40.024661
"1448","401-500",2,"2013_05_25",39.0037489
"1449","401-500",2,"2013_06_02",35.5604138
"1450","401-500",2,"2013_06_18",29.4519933
"1451","401-500",2,"2013_06_26",30.3540148
"1452","401-500",2,"2013_07_04",27.1213421
"1453","401-500",2,"2013_07_20",28.8179313
"1454","401-500",2,"2013_07_28",29.5888977
"1455","401-500",2,"2013_08_13",27.4233844
"1456","401-500",2,"2013_08_21",28.4366455
"1457","401-500",2,"2013_08_29",28.0862212
"1458","401-500",2,"2013_09_06",27.4825585
"1459","401-500",2,"2013_09_14",29.3361912
"1460","401-500",2,"2013_09_22",27.8149234
"1461","401-500",2,"2013_09_30",28.089831
"1462","401-500",2,"2013_10_08",27.6574661
"1463","401-500",2,"2013_10_16",27.4761243
"1464","401-500",2,"2013_10_24",27.4888766
"1465","401-500",2,"2013_11_01",24.2459993
"1466","401-500",2,"2013_11_09",23.7499155
"1467","401-500",2,"2013_11_17",23.1868093
"1468","401-500",2,"2013_11_25",24.2643229
"1469","401-500",2,"2013_12_03",21.6838827
"1470","401-500",2,"2013_12_11",21.3616182
"1471","401-500",2,"2013_12_19",17.2697288
"1472","401-500",2,"2013_12_27",17.5146346
"1473","401-500",2,"2014_01_01",16.6118137
"1474","401-500",2,"2014_01_09",17.3854006
"1475","401-500",2,"2014_01_17",18.2364694
"1476","401-500",2,"2014_01_25",18.0011921
"1477","401-500",2,"2014_02_02",18.3936168
"1478","401-500",2,"2014_02_10",19.1953742
"1479","401-500",2,"2014_02_18",20.9429882
"1480","401-500",2,"2014_02_26",20.6784592
"1481","401-500",2,"2014_03_06",24.3383325
"1482","401-500",2,"2014_03_14",27.2772548
"1483","401-500",2,"2014_03_22",25.9458056
"1484","401-500",2,"2014_03_30",29.3208787
"1485","401-500",2,"2014_04_07",30.5363673
"1486","401-500",2,"2014_04_15",30.2785191
"1487","401-500",2,"2014_04_23",37.8317926
"1488","401-500",2,"2014_05_01",37.2733386
"1489","401-500",2,"2014_05_09",36.1207132
"1490","401-500",2,"2014_05_17",37.6941627
"1491","401-500",2,"2014_05_25",37.9047068
"1492","401-500",2,"2014_06_02",43.0699366
"1493","401-500",2,"2014_06_10",39.8783994
"1494","401-500",2,"2014_06_18",34.1638405
"1495","401-500",2,"2014_06_26",34.9581775
"1496","401-500",2,"2014_07_04",31.1082708
"1497","401-500",2,"2014_07_20",29.7625284
"1498","401-500",2,"2014_07_28",26.3641445
"1499","401-500",2,"2014_08_05",28.9247413
"1500","401-500",2,"2014_08_13",27.757607
"1501","401-500",2,"2014_08_21",29.7695492
"1502","401-500",2,"2014_08_29",30.3388678
"1503","401-500",2,"2014_09_06",28.2717679
"1504","401-500",2,"2014_09_14",29.5260134
"1505","401-500",2,"2014_09_22",28.9379134
"1506","401-500",2,"2014_09_30",27.7317679
"1507","401-500",2,"2014_10_08",29.4706621
"1508","401-500",2,"2014_10_16",27.4160504
"1509","401-500",2,"2014_10_24",27.1957123
"1510","401-500",2,"2014_11_01",27.8040271
"1511","401-500",2,"2014_11_09",26.2149657
"1512","401-500",2,"2014_11_17",23.7952861
"1513","401-500",2,"2014_11_25",24.8954517
"1514","401-500",2,"2014_12_03",23.171951
"1515","401-500",2,"2014_12_11",19.0443406
"1516","401-500",2,"2014_12_19",16.8776175
"1517","401-500",2,"2014_12_27",17.4707043
"1518","401-500",2,"2015_01_01",18.4150784
"1519","401-500",2,"2015_01_09",16.5636221
"1520","401-500",2,"2015_01_17",15.2868656
"1521","401-500",2,"2015_01_25",18.0512397
"1522","401-500",2,"2015_02_02",18.0701514
"1523","401-500",2,"2015_02_10",20.2180859
"1524","401-500",2,"2015_02_18",25.2438968
"1525","401-500",2,"2015_02_26",19.5416887
"1526","401-500",2,"2015_03_06",21.6199278
"1527","401-500",2,"2015_03_14",25.6750291
"1528","401-500",2,"2015_03_22",29.1187058
"1529","401-500",2,"2015_03_30",25.8760504
"1530","401-500",2,"2015_04_07",30.1373992
"1531","401-500",2,"2015_04_15",29.325714
"1532","401-500",2,"2015_04_23",32.6997975
"1533","401-500",2,"2015_05_01",35.8542261
"1534","401-500",2,"2015_05_09",36.3356278
"1535","401-500",2,"2015_05_17",39.5149797
"1536","401-500",2,"2015_05_25",39.4527117
"1537","401-500",2,"2015_06_02",36.6070488
"1538","401-500",2,"2015_06_10",38.3171315
"1539","401-500",2,"2015_06_18",34.4988889
"1540","401-500",2,"2015_06_26",35.0874538
"1541","401-500",2,"2015_07_12",31.41
"1542","401-500",2,"2015_07_20",30.7680806
"1543","401-500",2,"2015_07_28",29.5021676
"1544","401-500",2,"2015_08_05",28.5209899
"1545","401-500",2,"2015_08_13",27.5356274
"1546","401-500",2,"2015_08_21",28.4109826
"1547","401-500",2,"2015_08_29",28.8267177
"1548","401-500",2,"2015_09_06",31.0346945
"1549","401-500",2,"2015_09_14",28.9038546
"1550","401-500",2,"2015_09_22",27.8183712
"1551","401-500",2,"2015_09_30",30.1241997
"1552","401-500",2,"2015_10_08",29.0767371
"1553","401-500",2,"2015_10_16",28.454529
"1554","401-500",2,"2015_10_24",25.9958496
"1555","401-500",2,"2015_11_01",25.8978852
"1556","401-500",2,"2015_11_09",25.631451
"1557","401-500",2,"2015_11_17",25.2914897
"1558","401-500",2,"2015_11_25",23.1910143
"1559","401-500",2,"2015_12_03",22.652666
"1560","401-500",2,"2015_12_11",18.5937401
"1561","401-500",2,"2015_12_19",18.5028966
"1562","401-500",2,"2015_12_27",20.3647596
"1563","401-500",2,"2016_01_01",20.768218
"1564","401-500",2,"2016_01_09",18.8963286
"1565","401-500",2,"2016_01_17",16.8877179
"1566","401-500",2,"2016_01_25",18.2084293
"1567","401-500",2,"2016_02_02",21.9760856
"1568","401-500",2,"2016_02_10",23.2274925
"1569","401-500",2,"2016_02_18",28.4065909
"1570","401-500",2,"2016_02_26",27.2876334
"1571","401-500",2,"2016_03_05",28.5901197
"1572","401-500",2,"2016_03_13",26.0922363
"1573","401-500",2,"2016_03_21",29.2662916
"1574","401-500",2,"2016_03_29",33.360685
"1575","401-500",2,"2016_04_06",34.613557
"1576","401-500",2,"2016_04_14",38.6259183
"1577","401-500",2,"2016_04_22",39.7714721
"1578","401-500",2,"2016_04_30",40.2970083
"1579","401-500",2,"2016_05_08",37.3085103
"1580","401-500",2,"2016_05_16",40.8745008
"1581","401-500",2,"2016_05_24",35.5396038
"1582","401-500",2,"2016_06_01",37.7524054
"1583","401-500",2,"2016_06_09",34.2503381
"1584","401-500",2,"2016_06_17",28.5999067
"1585","401-500",2,"2016_06_25",31.3770716
"1586","401-500",2,"2016_07_03",30.7212555
"1587","401-500",2,"2016_07_19",30.5216887
"1588","401-500",2,"2016_07_27",32.37155
"1589","401-500",2,"2016_08_04",29.3042808
"1590","401-500",2,"2016_08_12",29.5541275
"1591","401-500",2,"2016_08_20",28.0241915
"1592","401-500",2,"2016_08_28",30.1999032
"1593","401-500",2,"2016_09_05",28.7114897
"1594","401-500",2,"2016_09_13",29.8118067
"1595","401-500",2,"2016_09_21",28.2228086
"1596","401-500",2,"2016_09_29",27.94975
"1597","401-500",2,"2016_10_07",29.904175
"1598","401-500",2,"2016_10_15",29.5635024
"1599","401-500",2,"2016_10_23",29.1855309
"1600","401-500",2,"2016_10_31",27.7099366
"1601","401-500",2,"2016_11_08",26.6816746
"1602","401-500",2,"2016_11_16",25.7801955
"1603","401-500",2,"2016_11_24",26.2017838
"1604","401-500",2,"2016_12_02",23.3688343
"1605","401-500",2,"2016_12_10",20.8333738
"1606","401-500",2,"2016_12_18",22.0917961
"1607","401-500",2,"2016_12_26",19.1335041
"1608","401-500",2,"2017_01_01",20.0526695
"1609","401-500",2,"2017_01_09",16.176716
"1610","401-500",2,"2017_01_17",16.5022205
"1611","401-500",2,"2017_01_25",17.9371245
"1612","401-500",2,"2017_02_02",17.9319546
"1613","401-500",2,"2017_02_10",22.3144127
"1614","401-500",2,"2017_02_18",25.0275735
"1615","401-500",2,"2017_02_26",26.0401673
"1616","401-500",2,"2017_03_06",22.654934
"1617","401-500",2,"2017_03_14",26.0380578
"1618","401-500",2,"2017_03_22",33.6077883
"1619","401-500",2,"2017_03_30",38.2159482
"1620","401-500",2,"2017_04_07",33.6415584
"1621","401-500",2,"2017_04_15",35.307658
"1622","401-500",2,"2017_04_23",35.5652069
"1623","401-500",2,"2017_05_01",37.7641786
"1624","401-500",2,"2017_05_09",37.4764307
"1625","401-500",2,"2017_05_17",38.3770153
"1626","401-500",2,"2017_05_25",40.1601039
"1627","401-500",2,"2017_06_02",39.3967934
"1628","401-500",2,"2017_06_10",36.9612344
"1629","401-500",2,"2017_06_18",34.1772231
"1630","401-500",2,"2017_06_26",NA
"1631","401-500",2,"2017_07_04",32.5166843
"1632","401-500",2,"2017_07_12",31.5125832
"1633","401-500",2,"2017_07_20",31.0907578
"1634","401-500",2,"2017_08_05",24.6028646
"1635","401-500",2,"2017_08_13",28.4048512
"1636","401-500",2,"2017_08_21",28.4370681
"1637","401-500",2,"2017_08_29",28.5382726
"1638","401-500",2,"2017_09_06",28.3677214
"1639","401-500",2,"2017_09_14",29.637614
"1640","401-500",2,"2017_09_22",28.5010125
"1641","401-500",2,"2017_09_30",29.4362088
"1642","401-500",2,"2017_10_08",28.9304895
"1643","401-500",2,"2017_10_16",29.4768604
"1644","401-500",2,"2017_10_24",26.3590615
"1645","401-500",2,"2017_11_01",25.1801215
"1646","401-500",2,"2017_11_09",22.3751101
"1647","401-500",2,"2017_11_17",21.6660944
"1648","401-500",2,"2017_11_25",21.6710389
"1649","401-500",2,"2017_12_03",22.4839391
"1650","401-500",2,"2017_12_11",18.7241292
"1651","401-500",2,"2017_12_19",19.7298239
"1652","401-500",2,"2017_12_27",19.939072
"1653","401-500",2,"2018_01_01",15.3173217
"1654","401-500",2,"2018_01_09",18.7481687
"1655","401-500",2,"2018_01_17",19.9114193
"1656","401-500",2,"2018_01_25",19.0298274
"1657","401-500",2,"2018_02_02",21.2297042
"1658","401-500",2,"2018_02_10",20.6199278
"1659","401-500",2,"2018_02_18",22.067894
"1660","401-500",2,"2018_02_26",24.8767089
"1661","401-500",2,"2018_03_06",30.2715144
"1662","401-500",2,"2018_03_14",31.487739
"1663","401-500",2,"2018_03_22",33.2741803
"1664","401-500",2,"2018_03_30",31.9453583
"1665","401-500",2,"2018_04_07",33.7388361
"1666","401-500",2,"2018_04_15",36.5988537
"1667","401-500",2,"2018_04_23",37.2059852
"1668","401-500",2,"2018_05_01",35.6012802
"1669","401-500",2,"2018_05_09",37.2922187
"1670","401-500",2,"2018_05_17",41.748056
"1671","401-500",2,"2018_05_25",41.8616112
"1672","401-500",2,"2018_06_02",35.4007308
"1673","401-500",2,"2018_06_10",39.2915918
"1674","401-500",2,"2018_06_18",36.4014844
"1675","401-500",2,"2018_07_04",31.2846786
"1676","401-500",2,"2018_07_28",28.24741
"1677","401-500",2,"2018_08_13",29.3637769
"1678","401-500",2,"2018_08_21",27.2700563
"1679","401-500",2,"2018_08_29",28.0765282
"1680","401-500",2,"2018_09_06",26.205464
"1681","401-500",2,"2018_09_14",28.2472988
"1682","401-500",2,"2018_09_22",27.1306304
"1683","401-500",2,"2018_09_30",27.0095985
"1684","401-500",2,"2018_10_08",26.3784346
"1685","401-500",2,"2018_10_16",26.2437876
"1686","401-500",2,"2018_10_24",25.2656999
"1687","401-500",2,"2018_11_01",23.9405089
"1688","401-500",2,"2018_11_09",22.8363744
"1689","401-500",2,"2018_11_17",22.6344832
"1690","401-500",2,"2018_11_25",21.4685737
"1691","401-500",2,"2018_12_03",19.1982198
"1692","401-500",2,"2018_12_11",18.8055133
"1693","401-500",2,"2018_12_19",17.9882462
"1694","401-500",2,"2018_12_27",17.0698767
"1695","401-500",2,"2019_01_01",18.1408857
"1696","401-500",2,"2019_01_09",17.6453689
"1697","401-500",2,"2019_01_17",17.8153812
"1698","401-500",2,"2019_01_25",16.8120637
"1699","401-500",2,"2019_02_02",18.3608082
"1700","401-500",2,"2019_02_10",19.25081
"1701","401-500",2,"2019_02_18",20.0472601
"1702","401-500",2,"2019_02_26",19.7791108
"1703","401-500",2,"2019_03_06",24.7504085
"1704","401-500",2,"2019_03_14",25.4992023
"1705","401-500",2,"2019_03_22",29.0812802
"1706","401-500",2,"2019_03_30",32.520604
"1707","401-500",2,"2019_04_07",30.1735041
"1708","401-500",2,"2019_04_15",32.4175964
"1709","401-500",2,"2019_04_23",35.2836116
"1710","401-500",2,"2019_05_01",40.0853407
"1711","401-500",2,"2019_05_09",35.7748917
"1712","401-500",2,"2019_05_17",38.9523913
"1713","401-500",2,"2019_05_25",41.7480806
"1714","401-500",2,"2019_06_02",39.9448371
"1715","401-500",2,"2019_06_10",39.6397905
"1716","401-500",2,"2019_06_18",37.6880102
"1717","401-500",2,"2019_06_26",36.57866
"1718","401-500",2,"2019_07_04",32.1837227
"1719","401-500",2,"2019_07_20",31.5093943
"1720","401-500",2,"2019_07_28",27.440701
"1721","401-500",2,"2019_08_13",28.684573
"1722","401-500",2,"2019_08_21",28.8330393
"1723","401-500",2,"2019_08_29",25.9632962
"1724","401-500",2,"2019_09_06",28.0205864
